UNEMPLOYMENT RATES MONTH BY MONTH (3.5% to 4.5% Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26
Australia,3.90%,3.90%,3.90%,3.60%,3.50%,3.50%,3.60%,3.40%,3.50%,3.50%,3.70%,3.50%,3.50%,3.70%,3.60%,3.50%,3.70%,3.70%,3.60%,3.70%,3.90%,3.90%,4.10%,3.70%,3.80%,4.10%,4.00%,4.10%,4.20%,4.20%,4.10%,4.10%,3.90%,4.00%,4.10%,4.10%,4.10%,4.10%,4.10%,4.30%,4.20%,4.20%,4.50%,4.30%,4.30%,4.10%,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,,,,,,,,,,,,
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,,,,,,,,,,,,
Canada,1.00%,1.00%,1.50%,2.50%,2.50%,3.25%,3.75%,3.75%,4.25%,4.50%,4.50%,4.50%,4.50%,5.00%,5.20%,5.40%,5.50%,5.50%,5.50%,5.70%,5.80%,5.80%,5.70%,5.80%,6.10%,6.10%,6.20%,6.40%,6.40%,6.60%,6.50%,6.50%,6.80%,6.70%,6.60%,6.60%,6.70%,6.90%,7.00%,6.90%,6.90%,7.10%,7.10%,6.90%,6.50%,6.80%,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,,,,,,,,,,,,
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,,,,,,,,,,,,
China,6.10%,6.10%,5.90%,5.50%,5.40%,5.30%,5.50%,5.50%,5.70%,5.50%,5.50%,5.60%,5.30%,5.20%,5.20%,5.20%,5.30%,5.20%,5.00%,5.00%,5.00%,5.10%,5.20%,5.30%,5.20%,5.00%,5.00%,5.00%,5.20%,5.30%,5.10%,5.00%,5.00%,5.10%,5.20%,5.40%,5.20%,5.10%,5.10%,5.00%,5.20%,5.30%,5.20%,5.10%,5.10%,5.10%,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,,,,,,,,,,,,
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,,,,,,,,,,,,
Euro Area,6.80%,6.70%,6.70%,6.70%,6.70%,6.70%,6.70%,6.70%,6.70%,6.70%,6.60%,6.60%,6.60%,6.50%,6.50%,6.40%,6.50%,6.40%,6.50%,6.50%,6.40%,6.50%,6.40%,6.50%,6.50%,6.40%,6.40%,6.50%,6.40%,6.40%,6.30%,6.30%,6.30%,6.20%,6.30%,6.30%,6.40%,6.30%,6.40%,6.30%,6.20%,6.30%,6.30%,6.40%,6.30%,,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,,,,,,,,,,,,
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,,,,,,,,,,,,
Hungary,3.70%,3.70%,3.70%,3.70%,3.70%,3.70%,3.70%,3.60%,3.80%,3.90%,4.00%,4.10%,4.10%,4.00%,3.90%,3.90%,4.00%,4.10%,4.10%,4.30%,4.30%,4.40%,4.60%,4.70%,4.60%,4.50%,4.40%,4.30%,4.20%,4.30%,4.60%,4.60%,4.70%,4.40%,4.30%,4.40%,4.30%,4.40%,4.30%,4.50%,4.30%,4.40%,4.50%,4.60%,4.40%,4.40%,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%
Japan,2.60%,2.50%,2.60%,2.60%,2.60%,2.50%,2.60%,2.60%,2.50%,2.50%,2.40%,2.60%,2.80%,2.60%,2.60%,2.50%,2.70%,2.70%,2.60%,2.50%,2.50%,2.40%,2.40%,2.60%,2.60%,2.60%,2.60%,2.50%,2.70%,2.50%,2.40%,2.50%,2.50%,2.40%,2.50%,2.40%,2.50%,2.50%,2.50%,2.50%,2.30%,2.60%,2.50%,2.60%,2.60%,,,,,,,,,,,,,
,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,,,,,,,,,,,,
,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,4.50%,,,,,,,,,,,,
Mexico,3.00%,3.00%,3.30%,3.30%,3.40%,3.50%,3.30%,3.30%,2.80%,2.80%,3.00%,2.70%,2.40%,2.80%,2.90%,2.70%,3.10%,3.00%,2.90%,2.70%,2.70%,2.60%,2.90%,2.50%,2.30%,2.60%,2.60%,2.80%,2.90%,3.00%,2.90%,2.50%,2.60%,2.40%,2.70%,2.50%,2.20%,2.50%,2.70%,2.70%,2.80%,2.90%,3.00%,2.60%,2.70%,2.40%,,,,,,,,,,,,
